zipcode,state,income
78617,texas,68069
70526,louisiana,34404
78629,texas,56433
79490,texas,not_found
78541,texas,39352
78584,texas,26684
75116,texas,51765
77035,texas,48939
78028,texas,59802
77084,texas,69857
63088,missouri,56366
32459,florida,94648
61008,illinois,66594
70433,louisiana,71772
78683,texas,not_found
77494,texas,137275
87567,newmexico,30288
79904,texas,33984
78006,texas,103068
39190,mississippi,not_found
70518,louisiana,80015
75964,texas,52825
75949,texas,43954
78539,texas,62730
70648,louisiana,43958
78521,texas,35318
39652,mississippi,22060
37618,tennessee,50417
78133,texas,70949
70503,louisiana,83063
76087,texas,94639
75926,texas,53026
77803,texas,44750
78537,texas,32155
78520,texas,42484
77541,texas,52529
79927,texas,41526
77627,texas,77679
75757,texas,72015
74701,oklahoma,49854
78589,texas,44246
75672,texas,62876
72908,arkansas,58846
75706,texas,60421
78664,texas,80403
79915,texas,32259
39532,mississippi,59952
80223,colorado,66069
77703,texas,28202
75904,texas,54624
78664,texas,80403
82001,wyoming,66897
78611,texas,69747
38901,mississippi,40634
78599,texas,52679
